date,avg
2021-11-03,7825
2021-11-04,6997
2021-11-05,7162
2021-11-06,6914
2021-11-07,5509
2021-11-08,5860
2021-11-09,6858
2021-11-10,7145
2021-11-11,7330
2021-11-12,7424
2021-11-13,7270
2021-11-14,5889
2021-11-15,5608
2021-11-16,5898
2021-11-17,6595
2021-11-18,6747
2021-11-19,7242
2021-11-20,7109
2021-11-21,5519
2021-11-22,5931
2021-11-23,6871
2021-11-24,6929
2021-12-03,8821
2021-12-04,7002
2021-12-05,5652
2021-12-06,6122
2021-12-07,7178
2021-12-08,5069
2021-12-09,4963
2021-12-10,4129
2021-12-11,3897
2021-12-12,3082
2021-12-13,6076
2021-12-14,6957
2021-12-15,7305
2021-12-16,6593
2021-12-17,6570
2021-12-18,6636
2021-12-19,5334
2021-12-20,5795
2021-12-21,6608
2021-12-22,6539
2021-12-23,6408
2021-12-24,6189
2021-12-25,3215
2021-12-26,3931
2021-12-27,5605
2021-12-28,6570
2021-12-29,6552
2021-12-30,6182
2021-12-31,4840
2022-01-01,2273
2022-01-02,2987
2022-01-03,4417
2022-01-04,5589
2022-01-05,5918
2022-01-06,5758
2022-01-07,5667
2022-01-08,6190
2022-01-09,4847
2022-01-10,4985
2022-01-11,5805
2022-01-12,6545
2022-01-13,6546
2022-01-14,6979
2022-01-15,6680
2022-01-16,4845
